SeasonDef,NorthTatooine_Winter,01/01,01/03,985,1010,True
SeasonDef,NorthTatooine_Spring,02/03,31/05,995,1020,False
SeasonDef,NorthTatooine_Summer,01/06,31/08,1000,1025,False
SeasonDef,NorthTatooine_Autumn,01/09,31/12,990,1010,True
SeasonDef,StandardTatooine_Winter,01/01,01/03,1000,1020,True
SeasonDef,StandardTatooine_Spring,02/03,31/05,1005,1030,False
SeasonDef,StandardTatooine_Summer,01/06,31/08,1015,1035,False
SeasonDef,StandardTatooine_Autumn,01/09,31/12,1005,1020,True
SeasonDef,StandardCoruscant_Winter,01/01,01/03,970,1000,True
SeasonDef,StandardCoruscant_Spring,02/03,31/05,985,1015,False
SeasonDef,StandardCoruscant_Summer,01/06,31/08,985,1020,False
SeasonDef,StandardCoruscant_Autumn,01/09,31/12,975,1005,True
Region,Coruscant,6001,3022,coruscant.jpeg,tatooine_watermap.txt
City,Mirin City,736,1265,100
AddSeason,StandardCoruscant_Winter
AddSeason,StandardCoruscant_Spring
AddSeason,StandardCoruscant_Summer
AddSeason,StandardCoruscant_Autumn
10/07/0280,24,43
11/07/0280,24,43
12/07/0280,24,43
13/07/0280,24,43
14/07/0280,24,43
15/07/0280,25,43
16/07/0280,25,44
17/07/0280,25,44
18/07/0280,25,44
19/07/0280,25,44
20/07/0280,25,44
21/07/0280,25,44
22/07/0280,25,44
23/07/0280,25,44
24/07/0280,25,44
25/07/0280,26,44
26/07/0280,26,44
27/07/0280,26,44
28/07/0280,26,45
29/07/0280,26,45
30/07/0280,26,45
EndCity
City,Mos Espa,762,97,300
AddSeason,StandardTatooine_Winter
AddSeason,StandardTatooine_Spring
AddSeason,StandardTatooine_Summer
AddSeason,StandardTatooine_Autumn
01/06/0280,2,16
02/06/0280,2,16
03/06/0280,2,16
04/06/0280,3,16
05/06/0280,3,16
06/06/0280,3,16
07/06/0280,4,17
08/06/0280,4,17
09/06/0280,4,17
10/06/0280,5,17
11/06/0280,5,17
12/06/0280,5,17
13/06/0280,6,17
14/06/0280,6,18
15/06/0280,7,18
16/06/0280,7,18
17/06/0280,7,18
18/06/0280,7,18
19/06/0280,7,18
20/06/0280,7,19
21/06/0280,8,19
22/06/0280,8,19
23/06/0280,8,19
24/06/0280,8,19
25/06/0280,8,19
26/06/0280,8,19
27/06/0280,9,20
28/06/0280,9,20
29/06/0280,9,20
30/06/0280,9,20
01/07/0280,9,20
02/07/0280,9,21
03/07/0280,10,21
04/07/0280,10,21
05/07/0280,10,21
06/07/0280,10,21
07/07/0280,10,21
08/07/0280,10,22
09/07/0280,11,22
10/07/0280,11,22
11/07/0280,11,22
12/07/0280,11,22
13/07/0280,11,22
14/07/0280,12,22
15/07/0280,12,22
16/07/0280,12,23
17/07/0280,12,23
18/07/0280,13,23
19/07/0280,13,23
20/07/0280,13,23
21/07/0280,13,23
22/07/0280,13,23
23/07/0280,14,24
24/07/0280,14,24
25/07/0280,14,24
26/07/0280,14,24
27/07/0280,14,24
28/07/0280,15,24
29/07/0280,15,25
30/07/0280,15,25
EndCity
City,Western Dune Sea,399,1004,50
AddSeason,StandardTatooine_Winter
AddSeason,StandardTatooine_Spring
AddSeason,StandardTatooine_Summer
AddSeason,StandardTatooine_Autumn
01/06/0280,15,37
02/06/0280,15,37
03/06/0280,15,37
04/06/0280,15,37
05/06/0280,15,38
06/06/0280,15,38
07/06/0280,15,38
08/06/0280,16,38
09/06/0280,16,38
10/06/0280,16,38
11/06/0280,16,39
12/06/0280,16,39
13/06/0280,16,39
14/06/0280,16,39
15/06/0280,16,39
16/06/0280,16,39
17/06/0280,17,39
18/06/0280,17,39
19/06/0280,17,40
20/06/0280,17,40
21/06/0280,17,40
22/06/0280,17,40
23/06/0280,17,40
24/06/0280,17,40
25/06/0280,17,40
26/06/0280,18,41
27/06/0280,18,41
28/06/0280,18,41
29/06/0280,18,41
30/06/0280,18,41
01/07/0280,18,41
02/07/0280,18,41
03/07/0280,18,41
04/07/0280,19,42
05/07/0280,19,42
06/07/0280,19,42
07/07/0280,19,42
08/07/0280,19,42
09/07/0280,19,42
10/07/0280,19,42
11/07/0280,19,43
12/07/0280,19,43
13/07/0280,19,43
14/07/0280,19,43
15/07/0280,20,43
16/07/0280,20,44
17/07/0280,20,44
18/07/0280,20,44
19/07/0280,20,44
20/07/0280,20,44
21/07/0280,20,44
22/07/0280,20,44
23/07/0280,20,45
24/07/0280,20,45
25/07/0280,20,45
26/07/0280,21,45
27/07/0280,21,45
28/07/0280,21,45
29/07/0280,21,45
30/07/0280,21,46
EndCity
EndRegion
